Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0.05,4,0.1,0.6172445444444445,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,5,0.1,0.637993889,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,6,0.1,0.6515767222222222,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,7,0.1,0.6643771722222221,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,8,0.1,0.6729851833333333,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,9,0.1,0.683017939,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,10,0.1,0.6912969777777777,0.018181818,1,1,0.981818182
FedAvg,TRUE,20,0.05,11,0.1,0.6964391277777777,0.018183471224656786,0.9998888888888889,0.4999722206789266,0.981816529
FedAvg,TRUE,20,0.05,12,0.1,0.6984605722222222,0.018186778212239702,0.9996666666666667,0.33327776851697505,0.981813222
FedAvg,TRUE,20,0.05,13,0.1006,0.7002298166666667,0.019401434,0.9973333333333333,0.19973297730307077,0.980598566
FedAvg,TRUE,20,0.05,14,0.1008,0.7035427722222222,0.020179788,0.9958888888888889,0.16632336840542597,0.979820212
FedAvg,TRUE,20,0.05,15,0.1012,0.7062489388888888,0.020994633,0.9933333333333333,0.16610925306577481,0.979005367
FedAvg,TRUE,20,0.05,16,0.1081,0.7070521222222222,0.034336713,0.9704444444444444,0.10944450709873062,0.965663287
FedAvg,TRUE,20,0.05,17,0.1058,0.7086094222222223,0.030053467323072364,0.9777777777777777,0.12359550561797752,0.969946533
FedAvg,TRUE,20,0.05,18,0.1154,0.7108009777777778,0.048427423,0.9392222222222222,0.10762874259121323,0.951572577
FedAvg,TRUE,20,0.05,19,0.1195,0.7111375500000001,0.055176860777167915,0.9132222222222223,0.11933039084731982,0.944823139
FedAvg,TRUE,20,0.05,20,0.15,0.7127217888888888,0.097216984,0.7818888888888889,0.097510618,0.902783016
FedAvg,TRUE,20,0.05,21,0.1478,0.7125726222222222,0.096913242,0.8172222222222222,0.09993546,0.903086758
FedAvg,TRUE,20,0.05,22,0.1643,0.7138595611111112,0.11494023269296272,0.7508888888888889,0.095302562,0.885059767
FedAvg,TRUE,20,0.05,23,0.1909,0.7152787611111111,0.13801945283901154,0.6472222222222223,0.087314971,0.861980547
FedAvg,TRUE,20,0.05,24,0.1854,0.7167154388888889,0.13002772543912727,0.6738888888888889,0.089464174,0.869972275
FedAvg,TRUE,20,0.05,25,0.1807,0.7173324166666666,0.12657429384965474,0.6987777777777778,0.091409219,0.873425706
FedAvg,TRUE,20,0.05,26,0.2118,0.7169030444444444,0.16790289970550953,0.5635555555555556,0.080096014,0.8320971
